N,Time (s),Memory (KB),Passes
10,0.0,3788.0,1.0
20,0.0,4016.0,1.0
30,0.0,4008.0,1.0
40,0.0,4012.0,1.0
50,0.0,4044.0,1.0
60,0.0,3956.0,1.0
70,0.0,4044.0,1.0
80,0.0,3984.0,1.0
90,0.0,3888.0,1.0
100,0.0,4136.0,1.0
150,0.0,3972.0,1.0
200,0.0,4164.0,1.0
250,0.0,4112.0,1.0
300,0.0,4036.0,1.0
350,0.0,4268.0,1.0
400,0.0,4184.0,1.0
450,0.0,4096.0,1.0
500,0.0,4292.0,1.0
600,0.0,4752.0,2.0
700,0.0,4976.0,2.0
800,0.0,5116.0,2.0
900,0.01,5244.0,2.0
1000,0.01,5408.0,2.0
1200,0.01,5704.0,2.0
1400,0.01,5888.0,2.0
1600,0.01,6248.0,2.0
1800,0.01,6512.0,2.0
2000,0.01,6840.0,2.0
2500,0.02,7536.0,2.0
3000,0.02,8244.0,2.0
3500,0.02,9004.0,2.0
4000,0.03,9828.0,2.0
4500,0.03,10140.0,2.0
5000,0.04,10572.0,2.0
6000,0.05,12440.0,2.0
7000,0.05,13960.0,2.0
8000,0.06,14928.0,2.0
9000,0.07,16720.0,2.0
10000,0.07,17796.0,2.0
