Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,3,2,1392.0,3
5000,3,2,1392.0,3
6000,3,2,1392.0,3
7000,3,2,1392.0,3
8000,3,2,1392.0,3
9000,3,2,1392.0,3
10000,3,2,1392.0,3
11000,3,2,1392.0,3
12000,3,2,1392.0,3
13000,3,2,1392.0,3
14000,3,2,1392.0,3
15000,3,2,1392.0,3
16000,3,2,1392.0,3
17000,3,2,1392.0,3
18000,3,2,1392.0,3
19000,3,2,1392.0,3
20000,3,2,1392.0,3
21000,3,2,1392.0,3
22000,3,2,1392.0,3
23000,3,2,1392.0,3
24000,3,2,1392.0,3
25000,3,2,1392.0,3
30000,3,2,1392.0,3
35000,3,2,1392.0,3
40000,3,2,1392.0,3
45000,3,2,1392.0,3
50000,3,2,1392.0,3
60000,3,2,1392.0,3
70000,3,2,1392.0,3
80000,3,2,1392.0,3
90000,3,2,1392.0,3
100000,3,2,1392.0,3
200000,3,2,1392.0,3
300000,3,2,1392.0,3
400000,3,2,1392.0,3
500000,3,2,1392.0,3
600000,3,2,1392.0,3
700000,3,2,1392.0,3
800000,3,2,1392.0,3
900000,3,2,1392.0,3
1000000,3,2,1392.0,3
